First Name,Last Name,Email,Address,Phone Number
John,Doe,johndoe@example.com,123 Main St,555-1234
Jane,Smith,janesmith@example.com,456 Elm St,555-5678
Michael,Johnson,michaeljohnson@example.com,789 Oak St,555-9101
Emily,Williams,emilywilliams@example.com,321 Pine St,555-1122
David,Brown,davidbrown@example.com,654 Maple St,555-3344
Sarah,Davis,sarahdavis@example.com,987 Cedar St,555-5566
Christopher,Miller,christophermiller@example.com,654 Birch St,555-7788
Jessica,Anderson,jessicaanderson@example.com,321 Walnut St,555-9900
Matthew,Thomas,matthewthomas@example.com,789 Cherry St,555-2233
Jennifer,Taylor,jennifertaylor@example.com,987 Spruce St,555-4455
